hour,total,crash_500_504,slow_200_gt5s
00,225772,225772,0
01,225250,225250,0
02,226118,226118,0
03,221547,221547,0
04,221738,221738,0
05,218669,218669,0
06,215865,215865,0
07,214986,214986,0
08,216392,216392,0
09,217117,217117,0
10,274173,218822,33239
11,275024,220364,32720
12,219864,219864,0
13,277640,221858,33443
14,280188,224098,33719
15,282173,227388,32878
16,225071,225071,0
17,227179,227179,0
18,230088,230088,0
19,233035,233035,0
20,232185,232185,0
21,231841,231841,0
22,228241,228241,0
23,229414,229414,0
